report_id,report_title,report_tags,indicator_value,indicator_type
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,145.178.167.156,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,160.224.166.216,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,171.224.234.209,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,174.195.209.188,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,199.239.121.147,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,222.160.194.125,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,236.164.151.216,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,242.164.248.252,IP
c42c99de-ad9b-4573-b644-c36b21825fa8,Test_Get_Related_Indicators_Report_3,,wefoijseroijr@yahoo.org,EMAIL_ADDRESS
3fa45f81-eb45-49e2-9ac0-bc3e356328c7,Test_Get_Related_Indicators_Report_2,,141.121.113.176,IP
3fa45f81-eb45-49e2-9ac0-bc3e356328c7,Test_Get_Related_Indicators_Report_2,,210.217.143.146,IP
3fa45f81-eb45-49e2-9ac0-bc3e356328c7,Test_Get_Related_Indicators_Report_2,,227.163.238.109,IP
3fa45f81-eb45-49e2-9ac0-bc3e356328c7,Test_Get_Related_Indicators_Report_2,,232.136.156.115,IP
3fa45f81-eb45-49e2-9ac0-bc3e356328c7,Test_Get_Related_Indicators_Report_2,,www.wefrrtdgwefwef1234.org,URL
cf5a2eb8-cbcf-4540-9669-bd2cee27f9ad,Test_Get_Related_Indicators_Report_1,,117.170.232.171,IP
cf5a2eb8-cbcf-4540-9669-bd2cee27f9ad,Test_Get_Related_Indicators_Report_1,,123.119.135.143,IP
cf5a2eb8-cbcf-4540-9669-bd2cee27f9ad,Test_Get_Related_Indicators_Report_1,,146.235.135.186,IP
cf5a2eb8-cbcf-4540-9669-bd2cee27f9ad,Test_Get_Related_Indicators_Report_1,,163.216.107.190,IP
cf5a2eb8-cbcf-4540-9669-bd2cee27f9ad,Test_Get_Related_Indicators_Report_1,,wefoijseroijr@yahoo.org,EMAIL_ADDRESS
cf5a2eb8-cbcf-4540-9669-bd2cee27f9ad,Test_Get_Related_Indicators_Report_1,,www.abcxyz1235.com,URL
2fbcec32-2a08-4a5c-a751-8056d72f4f78,test,,1.2.3.4,IP
2fbcec32-2a08-4a5c-a751-8056d72f4f78,test,,evil.com,URL
6924a052-570c-4b26-a706-51d6a2bc515e,test,,1.2.3.4,IP
6924a052-570c-4b26-a706-51d6a2bc515e,test,,evil.com,URL
26a9312a-7ec1-46d6-ba45-b8fa4f2a6a3a,Enclave report with tag,,103.255.61.39,IP
26a9312a-7ec1-46d6-ba45-b8fa4f2a6a3a,Enclave report with tag,,google.com,URL
26a9312a-7ec1-46d6-ba45-b8fa4f2a6a3a,Enclave report with tag,,malware.exe,SOFTWARE
21718b51-852a-413a-8a66-763d20d3ea24,ENCLAVE API SUBMISSION TEST,,103.255.61.39,IP
21718b51-852a-413a-8a66-763d20d3ea24,ENCLAVE API SUBMISSION TEST,,google.com,URL
21718b51-852a-413a-8a66-763d20d3ea24,ENCLAVE API SUBMISSION TEST,,malware.exe,SOFTWARE
